Сергей Трифонов: Предателей не прощают,330,
Игорь Немодрук: Выстрел,586,
Михаил Попов: Пейзаж с отчим домом,586,
Олег Яковлев: Хроники Червонной Руси,732,
Константин Симонов: Солдатами не рождаются,732,
Николай Задорнов: Капитан Невельской,732,
Валерий Дмитриевский: Камень небес,586,
Николай Задорнов: Война за океан,732,
Валентин Пикуль: Океанский патруль. Книга первая,512,
Валентин Пикуль: Океанский патруль. Книга вторая,512,
Константин Симонов: Последнее лето,732,
Андрей Авраменков: Город под прицелом,593 ₽,
ПТСР team. Пехота бессмертна,593,
Валентин Пикуль: Каторга. Миниатюры,732,
Валентин Пикуль: Каторга. Миниатюры,732,
Олег Яковлев: Всей землёй володеть,732,
"Сергей Вишняков: Звезда паладина, или Седьмой крестовый поход",366,
Владимир Петров: Долгая зима,586,
Сергей Бородин: Молниеносный Баязет,586,
Данила Монтанари: Кому выгодно?,1536,Масса: 488 г
"Федотов, Плещеева: Русский щит, или Конец Большой игры",732,Масса: 408 г
Олег Яковлев: Во дни усобиц,586 ₽,
Георгий Савицкий: Танковый таран Донбасса,586,Масса: 414 г
Константин Симонов: Живые и мертвые,732,Масса: 500 г
Игорь Вайсман: Отдам сердце только королеве!,510,Масса: 425 г
Леля Фольшина: За кремовыми шторами. Книга III,375,Масса: 514 г
Валентин Пикуль: Богатство. Миниатюры,732,Масса: 580 г
Валентин Пикуль: Богатство. Миниатюры,732,Масса: 580 г
Владимир Ераносян: Черный город,330,Масса: 230 г
Валентин Пикуль: Моонзунд,512,Масса: 382 г
Ольга Леви: Курс на полдень. Невыполненный приказ,732,Масса: 452 г
Сергей Трифонов: Предателей не прощают,330,Масса: 246 г
Виктор Поротников: Триста спартанцев,366,Масса: 328 г
Михаил Смирнов: Журавушки,586,Масса: 455 г
Игорь Немодрук: Выстрел,586,Масса: 380 г
Владимир Петров: Долгая зима,586,Масса: 574 г
Сергей Бородин: Молниеносный Баязет,586 ₽,
Юрий Авдеенко: Этот маленький город,732,Масса: 560 г
Дмитрий Агалаков: Наследник земли Русской,586,Масса: 557 г
Михаил Федоров: Чако. Своя чужая война,366,Масса: 334 г
Георгий Брянцев: По тонкому льду,586,Масса: 506 г
"Татьяна Герден: Японская кукушка, или Семь богов счастья",1151,Масса: 744 г
Ирина Лазарева: Золотые жилы,1005,Масса: 890 г
Татьяна Кононова: На заре земли Русской,512,Масса: 268 г
Леонид Соболев: Зелёный луч,330,Масса: 276 г
Сергей Вишняков: Король Людовик Святой,366,Масса: 330 г
Надежда Кравченко: Сказания о руде ирбинской,586,Масса: 522 г
Валентин Пикуль: Честь имею. Исповедь офицера российского Генштаба,512,Масса: 426 г
Михаил Попов: Пейзаж с отчим домом,586,Масса: 450 г
Олег Яковлев: Хроники Червонной Руси,732,Масса: 504 г
Константин Симонов: Солдатами не рождаются,732,Масса: 700 г
Лев Жданов: Варшавский листопад,366,Масса: 356 г
"Никитин, Генер: Меч Томаса",549,Масса: 350 г
Михаил Щукин: Осиновый крест урядника Жигина,477,Масса: 466 г
Дмитрий Медведев: На берегах Южного Буга. Подвиг винницкого подполья,716,Масса: 444 г
Хаджи-Мурат Мугуев: Кукла госпожи Барк,642,Масса: 397 г
Борис Корниенко: Варяжская сага. Пряди Ансгара,512,Масса: 326 г
Борис Васильев: Вещий Олег. Ольга — королева русов. Александр Невский,878,Масса: 890 г
Валентин Пикуль: Барбаросса,512,Масса: 472 г
Сергей Бородин: Дмитрий Донской,586,Масса: 454 г
"Николай Черкашин: Белая вежа, черный ураган. В июне сорок первого",586,Масса: 396 г
Нгуен Фан Кюэ Май: Песнь гор,936,Масса: 470 г
Камиль Зиганшин: Скитники,586,Масса: 430 г
Геннадий Сердитов: Я — Геха,248,Масса: 170 г
Федор Абрамов: Таинственная пианистка,214,Масса: 135 г
Валентин Пикуль: Реквием каравану PQ-17,512,Масса: 245 г
Виктор Носатов: Адъютант Бухарского эмира,293,Масса: 310 г
Валентин Пикуль: Океанский патруль. Книга 1,586,Масса: 566 г
Дарья Плещеева: Соловецкие бойцы,586,Масса: 408 г
Валентин Пикуль: Океанский патруль. Книга 2,586,Масса: 548 г
Валентин Пикуль: Океанский патруль. Книга 1,586,Масса: 566 г
Екатерина Глаголева: Приключения Оффенбаха в Америке,366,Масса: 274 г
Александр Чаковский: Это было в Ленинграде,586,Масса: 488 г
Алексей Варичев: Торжество Минервы. Книга первая. Правители и претенденты. Том 2,568,Масса: 380 г
Михаил Щукин: Несравненная,476,Масса: 506 г
Олег Бажанов: Везло ли России с правителями? Царь Иван. Царь Пётр,569,Масса: 476 г
Геннадий Прашкевич: Судовая роль,1621,Масса: 584 г
Валерий Ковалев: Рюрик,440,Масса: 256 г
Злата Черкащенко: Каин,542,Масса: 200 г
Сергей Бородин: Дмитрий Донской,1283,Масса: 800 г
Арсений Втюрин: Путь воина,439,Масса: 290 г
Владислав Бахревский: Выживший. Первый секретарь Грибоедова,366,Масса: 346 г
Конн Иггульден: Золотой век. Книга 1. Лев,851,Масса: 600 г
Моисей Бельферман: Провокатор... Герой... Кто он?,256,Масса: 718 г
Евгений Таганов: Морской царь,439,Масса: 340 г
Елена Гордеева: Ящик пандоры для Алёнушки,190,Масса: 238 г
Лев Шейнин: Старый знакомый (Ответный визит),590,Масса: 352 г
Аркадий Гайдар: Жизнь ни во что,293,Масса: 274 г
Екатерина Глаголева: Последний полет орла,330,Масса: 320 г
Юлиан Семенов: Семнадцать мгновений весны. Кинороман с историей,878,Масса: 707 г
Таисья Пьянкова: Я - дочь врага народа,586,Масса: 358 г
Валентин Иванов: Русь Великая,851,Масса: 750 г
Маргарет Джордж: Дневники Клеопатры. Книга 2. Царица поверженная,958,Масса: 950 г
Александр Барышников: Клад Соловья-разбойника,439,Масса: 374 г
Георгий Паксютов: Белый Волк,512,Масса: 307 г
Евгений Старшов: Схватка за Родос,330,Масса: 376 г
Валентина Ульянова: Жажда,492,Масса: 355 г
Валентин Пикуль: Битва железных канцлеров. Миниатюры,586,Масса: 552 г
Валентин Пикуль: Битва железных канцлеров,586,Масса: 554 г
Александр Сегень: Волшебный фонарь,658,Масса: 582 г
Николай Кочин: Девки,586,Масса: 520 г
Георгий Брянцев: Конец «Осиного гнезда»,662,Масса: 402 г
Джеймс Перкинс: Добрый царь Ашока. Жизнь по заветам Будды,555,Масса: 278 г
Валерий Ковалев: И на дерзкий побег,410,Масса: 264 г
Петр Ильинский: Век просвещения,435,Масса: 660 г
Роман Гуль: Бакунин,865,Масса: 328 г
Николай Кочин: Парни,586,Масса: 368 г
Патрик О`Брайан: Капитан первого ранга,854,Масса: 580 г
Патрик О`Брайан: Командир и штурман,788,Масса: 504 г
Алексей Толстой: Пётр Первый,4563,Масса: 1870 г
Федор Тютчев: Герои и фанатики,293,Масса: 244 г
Ольга Рожнёва: Тихая пристань,1441,Масса: 904 г
Михаил Шкабардня: Тревожные годы детства. Записки Управляющего делами Совета министров СССР,1242,Масса: 438 г
Валентин Иванов: Повести древних лет,851,Масса: 700 г
